frame,time_s,count
0,0.0,25
1,0.042,24
2,0.084,22
3,0.126,24
4,0.167,21
5,0.209,24
6,0.251,23
7,0.293,24
8,0.335,23
9,0.377,22
10,0.418,25
11,0.46,24
12,0.502,22
13,0.544,25
14,0.586,25
15,0.628,21
16,0.669,24
17,0.711,23
18,0.753,25
19,0.795,24
20,0.837,25
21,0.879,24
22,0.92,25
23,0.962,26
24,1.004,23
25,1.046,23
26,1.088,23
27,1.13,24
28,1.171,26
29,1.213,25
30,1.255,26
31,1.297,22
32,1.339,24
33,1.381,27
34,1.422,24
35,1.464,23
36,1.506,22
37,1.548,23
38,1.59,21
39,1.632,22
40,1.673,21
41,1.715,22
42,1.757,22
43,1.799,23
44,1.841,20
45,1.883,20
46,1.924,20
47,1.966,19
48,2.008,20
49,2.05,18
50,2.092,19
51,2.134,20
52,2.175,18
53,2.217,18
54,2.259,22
55,2.301,25
56,2.343,26
57,2.385,29
58,2.426,32
59,2.468,27
60,2.51,25
61,2.552,27
62,2.594,25
63,2.636,23
64,2.677,24
65,2.719,21
66,2.761,21
67,2.803,26
68,2.845,25
69,2.887,24
70,2.928,23
71,2.97,20
72,3.012,19
73,3.054,20
74,3.096,18
75,3.138,21
76,3.179,26
77,3.221,19
78,3.263,20
79,3.305,19
80,3.347,22
81,3.389,23
82,3.43,25
83,3.472,25
84,3.514,28
85,3.556,22
86,3.598,23
87,3.64,21
88,3.681,16
89,3.723,20
90,3.765,19
91,3.807,21
92,3.849,21
93,3.891,20
94,3.932,22
95,3.974,19
96,4.016,20
97,4.058,22
98,4.1,20
99,4.142,23
100,4.183,22
101,4.225,24
102,4.267,25
103,4.309,27
104,4.351,26
105,4.393,23
106,4.434,24
107,4.476,22
108,4.518,26
109,4.56,23
110,4.602,23
111,4.644,23
112,4.685,23
113,4.727,20
114,4.769,20
115,4.811,23
116,4.853,26
117,4.895,23
118,4.936,24
119,4.978,24
120,5.02,26
121,5.062,24
122,5.104,27
123,5.146,27
124,5.187,28
125,5.229,30
126,5.271,30
127,5.313,29
