frame,time_s,state,motion_energy,crowding_pct,mortality_alerts_active,mortality_alerts_cumulative,kinetic_energy_smooth
0,0.0,CROWDING,0.0,28.0,0,0,7.334973913043478
1,0.042,CROWDING,7.191,26.5,0,0,7.330975
2,0.084,CROWDING,7.2669,26.76,0,0,7.358612000000001
3,0.126,CROWDING,7.1691,26.32,0,0,7.375234615384615
4,0.167,CALM,7.6608,25.82,0,0,7.393266666666666
5,0.209,CALM,8.0043,24.29,0,0,7.411582142857143
6,0.251,CALM,7.0833,23.93,0,0,7.464865517241379
7,0.293,CALM,6.8,23.54,0,0,7.511480000000001
8,0.335,CALM,7.5495,23.34,0,0,7.546541935483871
9,0.377,CALM,7.944,23.28,0,0,7.579521875
10,0.418,CALM,8.2692,23.71,0,0,7.615048484848486
11,0.46,CALM,7.7698,23.47,0,0,7.633279411764706
12,0.502,CALM,7.9402,23.06,0,0,7.638751428571429
13,0.544,CALM,7.9433,22.84,0,0,7.635566666666667
14,0.586,CALM,7.0169,22.92,0,0,7.661816216216217
15,0.628,CALM,7.3365,22.98,0,0,7.700842105263158
16,0.669,CALM,8.1026,22.85,0,0,7.736651282051282
17,0.711,CALM,7.8375,22.79,0,0,7.763485
18,0.753,CALM,7.9961,22.64,0,0,7.807665853658537
19,0.795,CALM,7.7604,22.34,0,0,7.839323809523809
20,0.837,CALM,8.4068,22.23,0,0,7.860460465116279
21,0.879,CALM,8.1858,22.17,0,0,7.8711113636363645
22,0.92,CALM,7.4704,22.25,0,0,7.898773333333333
23,0.962,CALM,7.239,22.12,0,0,8.108253333333334
24,1.004,CALM,8.0219,21.93,0,0,8.15074
25,1.046,CALM,7.7908,21.92,0,0,8.18890888888889
26,1.088,CALM,7.8621,21.76,0,0,8.24262888888889
27,1.13,CALM,7.9061,21.58,0,0,8.276477777777778
28,1.171,CALM,8.9568,21.49,0,0,8.292575555555556
29,1.213,CALM,8.8633,21.44,0,0,8.319097777777777
30,1.255,CALM,8.5984,21.62,0,0,8.360453333333332
31,1.297,CALM,8.6019,21.66,0,0,8.386964444444445
32,1.339,CALM,8.7519,21.5,0,0,8.398837777777779
33,1.381,CALM,8.2349,21.63,0,0,8.400002222222222
34,1.422,CALM,7.8248,21.61,0,0,8.41904888888889
35,1.464,CALM,7.5241,21.49,0,0,8.42535111111111
36,1.506,CALM,8.6068,21.4,0,0,8.427491111111111
37,1.548,CALM,9.1448,21.41,0,0,8.45386
38,1.59,CALM,9.0974,21.23,0,0,8.485284444444444
39,1.632,CALM,8.81,21.15,0,0,8.498191111111112
40,1.673,CALM,9.5749,21.1,0,0,8.50678
41,1.715,CALM,9.1373,21.03,0,0,8.49990888888889
42,1.757,CALM,8.7482,20.97,0,0,8.508773333333334
43,1.799,CALM,8.3291,20.99,0,0,8.49129111111111
44,1.841,CALM,9.1159,20.96,0,0,8.480202222222223
